"fy_ef","org_id","org_name","sobj_en","expenditures"
2011,1,"Department of Agriculture and Agri-Food","Personnel",582717800.00
2011,1,"Department of Agriculture and Agri-Food","Transportation and communications",22928246.14
2011,1,"Department of Agriculture and Agri-Food","Information",7805108.05
2011,1,"Department of Agriculture and Agri-Food","Professional and special services",118263358.11
2011,1,"Department of Agriculture and Agri-Food","Rentals",4654611.82
2011,1,"Department of Agriculture and Agri-Food","Repair and maintenance",25932357.08
2011,1,"Department of Agriculture and Agri-Food","Utilities, materials and supplies",44304465.98
2011,1,"Department of Agriculture and Agri-Food","Acquisition of land, buildings and works",8513194.60
2011,1,"Department of Agriculture and Agri-Food","Acquisition of machinery and equipment",42584007.34
2011,1,"Department of Agriculture and Agri-Food","Transfer payments",1739822502.87
2011,1,"Department of Agriculture and Agri-Food","Other subsidies and payments",12178156.19
2011,1,"Department of Agriculture and Agri-Food","External revenues",-44624759.50
2011,1,"Department of Agriculture and Agri-Food","Internal revenues",-7424423.72
2011,2,"House of Commons","Personnel",323957427.60
2011,2,"House of Commons","Transportation and communications",44727730.79
2011,2,"House of Commons","Information",5959314.49
2011,2,"House of Commons","Professional and special services",17536360.30
2011,2,"House of Commons","Rentals",10718419.64
2011,2,"House of Commons","Repair and maintenance",6577967.26
2011,2,"House of Commons","Utilities, materials and supplies",6756584.11
2011,2,"House of Commons","Acquisition of machinery and equipment",10564873.68
2011,2,"House of Commons","Transfer payments",886466.55
2011,2,"House of Commons","Other subsidies and payments",312514.82
2011,2,"House of Commons","External revenues",-775458.23
2011,2,"House of Commons","Internal revenues",12705.00
2011,10,"Assisted Human Reproduction Agency of Canada","Personnel",1834066.30
2011,10,"Assisted Human Reproduction Agency of Canada","Transportation and communications",222965.68
2011,10,"Assisted Human Reproduction Agency of Canada","Information",54342.95
2011,10,"Assisted Human Reproduction Agency of Canada","Professional and special services",1218577.80
2011,10,"Assisted Human Reproduction Agency of Canada","Rentals",117506.08
2011,10,"Assisted Human Reproduction Agency of Canada","Repair and maintenance",1638.00
2011,10,"Assisted Human Reproduction Agency of Canada","Utilities, materials and supplies",12435.39
2011,10,"Assisted Human Reproduction Agency of Canada","Acquisition of machinery and equipment",1564.70
2011,10,"Assisted Human Reproduction Agency of Canada","Other subsidies and payments",740.65
2011,12,"Atlantic Canada Opportunities Agency","Personnel",75360864.97
2011,12,"Atlantic Canada Opportunities Agency","Transportation and communications",4452610.34
2011,12,"Atlantic Canada Opportunities Agency","Information",475202.80
2011,12,"Atlantic Canada Opportunities Agency","Professional and special services",10211493.78
2011,12,"Atlantic Canada Opportunities Agency","Rentals",2070384.77
2011,12,"Atlantic Canada Opportunities Agency","Repair and maintenance",211807.20
2011,12,"Atlantic Canada Opportunities Agency","Utilities, materials and supplies",419129.16
2011,12,"Atlantic Canada Opportunities Agency","Acquisition of machinery and equipment",1466960.94
2011,12,"Atlantic Canada Opportunities Agency","Transfer payments",236470119.64
2011,12,"Atlantic Canada Opportunities Agency","Other subsidies and payments",-684792.76
2011,14,"Atomic Energy of Canada Limited","Other subsidies and payments",719031083.33
2011,26,"Canada Border Services Agency","Personnel",1344065145.99
2011,26,"Canada Border Services Agency","Transportation and communications",60697076.31
2011,26,"Canada Border Services Agency","Information",1282851.53
2011,26,"Canada Border Services Agency","Professional and special services",265152069.97
2011,26,"Canada Border Services Agency","Rentals",8691205.86
2011,26,"Canada Border Services Agency","Repair and maintenance",24086041.42
2011,26,"Canada Border Services Agency","Utilities, materials and supplies",20006160.21
2011,26,"Canada Border Services Agency","Acquisition of land, buildings and works",91436129.40
2011,26,"Canada Border Services Agency","Acquisition of machinery and equipment",23851209.50
2011,26,"Canada Border Services Agency","Other subsidies and payments",8159990.18
2011,26,"Canada Border Services Agency","External revenues",-12130930.51
2011,29,"Canada Council for the Arts","Other subsidies and payments",181417816.00
2011,39,"Canada Industrial Relations Board","Personnel",11070868.65
2011,39,"Canada Industrial Relations Board","Transportation and communications",933444.50
2011,39,"Canada Industrial Relations Board","Information",16224.75
2011,39,"Canada Industrial Relations Board","Professional and special services",801609.66
2011,39,"Canada Industrial Relations Board","Rentals",160806.96
2011,39,"Canada Industrial Relations Board","Repair and maintenance",111668.03
2011,39,"Canada Industrial Relations Board","Utilities, materials and supplies",166896.83
2011,39,"Canada Industrial Relations Board","Acquisition of machinery and equipment",374607.89
2011,39,"Canada Industrial Relations Board","Other subsidies and payments",62796.84
2011,42,"Canada Mortgage and Housing Corporation","Other subsidies and payments",2048258588.68
