"fy_ef","org_id","org_name","vote_and_statutory","description","authorities","expenditures"
2011,1,"Department of Agriculture and Agri-Food",1,"Operating/Program",756690489.00,704941276.00
2011,1,"Department of Agriculture and Agri-Food",10,"Grants & Contributions",459143202.00,359941850.00
2011,1,"Department of Agriculture and Agri-Food",5,"Capital",34150756.00,28848626.00
2011,1,"Department of Agriculture and Agri-Food","S","Canadian Cattlemen's Association Legacy Fund",4893823.00,4893823.00
2011,1,"Department of Agriculture and Agri-Food","S","Canadian Pari-Mutuel Agency Revolving Fund",3922399.00,-253649.28
2011,1,"Department of Agriculture and Agri-Food","S","Class contribution payments for Repositioning of the Canadian Beef and Cattle Industry",-466711.00,-466711.28
2011,1,"Department of Agriculture and Agri-Food","S","Class grant payments for the Farm Income program",-80733.00,-80732.50
2011,1,"Department of Agriculture and Agri-Food","S","Class grant payments for the Transitional Industry Support program",-63445.00,-63445.29
2011,1,"Department of Agriculture and Agri-Food","S","Contribution payments for the AgriInsurance program",571643883.00,571643882.90
2011,1,"Department of Agriculture and Agri-Food","S","Contribution payments for the Agricultural Disaster Relief program and AgriRecovery",230881403.00,230881402.80
2011,1,"Department of Agriculture and Agri-Food","S","Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative",-202916.00,-202915.82
2011,1,"Department of Agriculture and Agri-Food","S","Contributions for agricultural risk management - Enhanced Spring Credit Advance program Business Risk Management",-6139593.00,-6139592.81
2011,1,"Department of Agriculture and Agri-Food","S","Contributions for the transitional industry support program",-48088.00,-48088.18
2011,1,"Department of Agriculture and Agri-Food","S","Contributions in support of Business Risk Management Programs under the Agricultural Policy Framework - Province-Based Programs",-321817.00,-321817.47
2011,1,"Department of Agriculture and Agri-Food","S","Contributions in support of the Farm Income Payment",-50382.00,-50381.51
2011,1,"Department of Agriculture and Agri-Food","S","Contributions to a transition to future risk management programming",-44664.00,-44663.87
2011,1,"Department of Agriculture and Agri-Food","S","Contributions to employee benefit plans",80766056.00,80766055.62
2011,1,"Department of Agriculture and Agri-Food","S","Grant and Contribution Payments for the AgriInvest Program",248429161.00,248429161.00
2011,1,"Department of Agriculture and Agri-Food","S","Grant and Contribution Payments for the AgriStability Program",289338103.00,289338103.00
2011,1,"Department of Agriculture and Agri-Food","S","Grant payments for the AgriInvest Kickstart program",-537408.00,-537408.00
2011,1,"Department of Agriculture and Agri-Food","S","Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative",-1732956.00,-1732955.83
2011,1,"Department of Agriculture and Agri-Food","S","Grants in support of the Cost of Production Benefit",-5784.00,-5784.18
2011,1,"Department of Agriculture and Agri-Food","S","Grants in support of the Grain and Oilseed Payment program",-33725.00,-33724.93
2011,1,"Department of Agriculture and Agri-Food","S","Grants to agencies established under the Farm Products Agencies Act",600000.00,0.00
2011,1,"Department of Agriculture and Agri-Food","S","Loan guarantees under the Canadian Agricultural Loans Act",141041.00,141041.20
2011,1,"Department of Agriculture and Agri-Food","S","Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)",44949155.00,44949154.58
2011,1,"Department of Agriculture and Agri-Food","S","Payments in connection with the Farm Income Protection Act - Crop Insurance Program",-35769.00,-35769.32
2011,1,"Department of Agriculture and Agri-Food","S","Payments in connection with the Farm Income Protection Act - Net Income Stabilization Account (NISA)",-100533.00,-100532.86
2011,1,"Department of Agriculture and Agri-Food","S","Payments in connection with the Farm Income Protection Act - Province-Based Programs",-531392.00,-531391.71
2011,1,"Department of Agriculture and Agri-Food","S","Refunds of amounts credited to revenues in previous years",8359.00,8359.41
2011,1,"Department of Agriculture and Agri-Food","S","Salary and Motor Car Allowance",77536.00,77536.36
2011,1,"Department of Agriculture and Agri-Food","S","Spending of proceeds from the disposal of surplus Crown assets",5621093.00,3443918.48
2011,2,"House of Commons",5,"Operating/Program",294169478.00,274982549.00
2011,2,"House of Commons","S","Contributions to employee benefit plans",35017888.00,35017888.27
2011,2,"House of Commons","S","Members of the House of Commons - Salaries and allowances of Officers and Members of the House of Commons under the Parliament of Canada Act and contributions to the Members of Parliament Retiring Allowances Account and the Members of Parliament Retirement Compensation Arrangements Account",117234469.00,117234468.50
2011,10,"Assisted Human Reproduction Agency of Canada",15,"Operating/Program",10422425.00,3212347.00
2011,10,"Assisted Human Reproduction Agency of Canada","S","Contributions to employee benefit plans",251491.00,251490.68
2011,12,"Atlantic Canada Opportunities Agency",1,"Operating/Program",88981325.00,83574012.00
2011,12,"Atlantic Canada Opportunities Agency",5,"Grants & Contributions",243470120.00,236470120.00
2011,12,"Atlantic Canada Opportunities Agency","S","Contributions to employee benefit plans",10339813.00,10339812.90
2011,12,"Atlantic Canada Opportunities Agency","S","Refunds of amounts credited to revenues in previous years",54185.00,54184.72
2011,12,"Atlantic Canada Opportunities Agency","S","Salary and Motor Car Allowance",1500.00,1500.03
2011,12,"Atlantic Canada Opportunities Agency","S","Spending of proceeds from the disposal of surplus Crown assets",37830.00,14151.45
2011,14,"Atomic Energy of Canada Limited",15,"Payments to Crown Corps",617143001.00,537031083.00
2011,14,"Atomic Energy of Canada Limited","S","Payments to Atomic Energy of Canada Limited",182000000.00,182000000.00
2011,26,"Canada Border Services Agency",10,"Operating/Program",1677761089.00,1521118147.00
2011,26,"Canada Border Services Agency",15,"Capital",239192416.00,122748593.00
2011,26,"Canada Border Services Agency","S","Contributions to employee benefit plans",191151942.00,191151941.70
2011,26,"Canada Border Services Agency","S","Refunds of amounts credited to revenues in previous years",91544.00,91543.76
2011,26,"Canada Border Services Agency","S","Spending of proceeds from the disposal of surplus Crown assets",354586.00,186724.19
2011,29,"Canada Council for the Arts",10,"Payments to Crown Corps",181917817.00,181417816.00
2011,39,"Canada Industrial Relations Board",10,"Operating/Program",13053388.00,12212298.00
2011,39,"Canada Industrial Relations Board","S","Contributions to employee benefit plans",1486626.00,1486626.01
2011,39,"Canada Industrial Relations Board","S","Spending of proceeds from the disposal of surplus Crown assets",919.00,0.00
2011,42,"Canada Mortgage and Housing Corporation",15,"Payments to Crown Corps",2161923000.00,2048052949.00
2011,42,"Canada Mortgage and Housing Corporation","S","Pursuant to Section 129 of the Economic Action Plan 2013 Act, No. 1, a payment to CHC to provide funding to Nunavut for housing in a sum not exceeding $30,000,000",205640.00,205640.32
2011,44,"Canada Post Corporation",15,"Payments to Crown Corps",22210000.00,22210000.00
2011,46,"Canada Revenue Agency",1,"Operating/Program",3388883997.00,3158001277.00
2011,46,"Canada Revenue Agency",5,"Capital",79656435.00,51689472.00
2011,46,"Canada Revenue Agency","S","Children's special allowance payments",223545787.00,223545787.00
2011,46,"Canada Revenue Agency","S","Collection Agency Fees",3509.00,3509.29
2011,46,"Canada Revenue Agency","S","Contributions to employee benefit plans",456860340.00,456860340.00
2011,46,"Canada Revenue Agency","S","Court Awards",1366693.00,1366692.86
